region,total_units_sold,total_revenue,avg_sale_price,min_sale_price,max_sale_price,data_type,month_label,sale_year,sale_month,units_sold,monthly_revenue,avg_price,category,model,revenue_tier,pct_of_units,yoy_revenue_growth_pct,yoy_units_growth_pct,dealer
,,,,,,Monthly Trend,2024-06,2024.0,6.0,51.0,4534278.34,88907.42,,,,,,,
,,,,,,Monthly Trend,2024-07,2024.0,7.0,50.0,4529902.28,90598.05,,,,,,,
,,,,,,Monthly Trend,2024-08,2024.0,8.0,50.0,4245124.03,84902.48,,,,,,,
,,,,,,Monthly Trend,2024-09,2024.0,9.0,62.0,5925464.64,95572.01,,,,,,,
,,,,,,Monthly Trend,2024-10,2024.0,10.0,55.0,5429738.57,98722.52,,,,,,,
,,,,,,Monthly Trend,2024-11,2024.0,11.0,48.0,4063584.78,84658.02,,,,,,,
,,,,,,Monthly Trend,2024-12,2024.0,12.0,50.0,4690593.79,93811.88,,,,,,,
,,18058409.03,,,,Model Performance,,,,143.0,,126282.58,Coupe,8 Series,,,,,
,,14512189.06,,,,Model Performance,,,,106.0,,136907.44,Ev,I7,,,,,
,,11070503.91,,,,Model Performance,,,,95.0,,116531.62,Sedan,7 Series,,,,,
,,10284130.69,,,,Model Performance,,,,100.0,,102841.31,Suv,X7,,,,,
,,9936647.2,,,,Model Performance,,,,106.0,,93741.95,Ev,Ix,,,,,
,,8565216.06,,,,Model Performance,,,,137.0,,62519.83,Coupe,4 Series,,,,,
,,7922349.17,,,,Model Performance,,,,108.0,,73355.08,Ev,I4,,,,,
,,7846152.52,,,,Model Performance,,,,100.0,,78461.53,Suv,X5,,,,,
,,7249576.75,,,,Model Performance,,,,105.0,,69043.59,Sedan,5 Series,,,,,
,,6198477.17,,,,Model Performance,,,,105.0,,59033.12,Suv,X3,,,,,
,,5058412.21,,,,Model Performance,,,,97.0,,52148.58,Sedan,3 Series,,,,,
,,10583824.2,,,,Revenue Tiers,,,,193.0,,,,,Entry (<60K),16.1,,,
,,34443305.38,,,,Revenue Tiers,,,,484.0,,,,,Mid (60–90K),40.3,,,
,,29416185.95,,,,Revenue Tiers,,,,280.0,,,,,Premium (90–120K),23.3,,,
,,32258748.24,,,,Revenue Tiers,,,,245.0,,,,,Ultra (>120K),20.4,,,
,,51927858.41,,,,YoY Growth,,2023.0,,591.0,,,,,,,,,
,,54774205.36,,,,YoY Growth,,2024.0,,611.0,,,,,,,5.48,3.38,
Manitoba,,11001550.16,85283.33,,,Dealer Rankings,,,,129.0,,,,,,,,,Prairie Motors
Manitoba,,9879026.54,87425.01,,,Dealer Rankings,,,,113.0,,,,,,,,,Winnipeg Auto Centre
Alberta,,7634677.96,93105.83,,,Dealer Rankings,,,,82.0,,,,,,,,,Edmonton Premier Cars
Quebec,,7615092.58,90655.86,,,Dealer Rankings,,,,84.0,,,,,,,,,Montreal Auto Group
Quebec,,7520279.94,84497.53,,,Dealer Rankings,,,,89.0,,,,,,,,,Laval Premium Cars
Quebec,,7338339.34,91729.24,,,Dealer Rankings,,,,80.0,,,,,,,,,Quebec City Motors
Alberta,,7082467.71,90800.87,,,Dealer Rankings,,,,78.0,,,,,,,,,Rocky Mountain Motors
British Columbia,,7016018.81,89948.96,,,Dealer Rankings,,,,78.0,,,,,,,,,Pacific Auto Centre
Alberta,,6385540.8,91222.01,,,Dealer Rankings,,,,70.0,,,,,,,,,Calgary Auto Hub
British Columbia,,6323143.32,86618.4,,,Dealer Rankings,,,,73.0,,,,,,,,,Westcoast Dealership
